reviewer_comment,change_made,file_modified,section_or_figure,status
1.1 Classifier does not distinguish weak-plane from matrix failure,Replaced 3-class tensile/shear/mixed with 4 primary classes WT/WS/MT/MS resolving mechanism AND locus; mixed demoted to a secondary hatched overlay,tools/failure_classification.py; manuscript/manscript_revision_001.tex,Methods (classifier equations); Results; Figs. fourclass_gneiss & fourclass_schist,addressed
1.1 (evidence) weak-plane opening at foliation-parallel loading,WT area fraction rises 0.005->0.093 (gneiss) and 0.004->0.055 (schist) from 0 to 90 deg; at 90 deg WT forms a band on the loading diameter,revision_outputs/fourclass_area_fractions.csv,"Results, four-mechanism maps",addressed
1.2 +/-5 deg fracture-orientation agreement unsupported,"All 14 pairs compared: MAE 6.65, RMSE 7.63, median 6.62, max 12.68 deg; 5/14 within 5 deg. All 8 occurrences of the claim removed. Model does not beat a loading-parallel null at any fit window",manuscript/manscript_revision_001.tex; revision_outputs/trace_comparison_metrics.csv,Abstract; Highlights; subsec:trace_validation + tab:trace_validation; Discussion; Conclusion,addressed
1.3 Conclusions imprecise,"Conclusion restructured into five explicit categories: experimental findings, framework inference, model/parameter dependence, implications, limitations",manuscript/manscript_revision_001.tex,Conclusion,addressed
2.1 Angle terminology inconsistent,"Single convention module defines frame, loading axis, rotation sense, axial vs directional status and tension-positive sign; 0/90 deg end members unit-tested",tools/conventions.py; tests/unit/,"Methods, conventions subsection",addressed
2.2 Fig 7 anisotropy claim contradicts the figure,Both ratios recomputed: gneiss 1.66 tensile / 1.75 compressive; schist 1.80 / 1.69. Ordering is lithology-dependent; blanket claim removed and an internal contradiction resolved,manuscript/manscript_revision_001.tex,"Results, strength anisotropy; Fig. 7 caption",addressed
2.3 Fig 9 stress quantity unspecified,"Candidate quantities enumerated from the cached fields but the plotted component could not be identified without regenerating the figure; not guessed. Fig. 9 quantity identified exactly: composite diagnostic C = <s1>+ + w_c*max(min(syy,0),-p_peak), MPa, tension-positive, global frame. Defined in tools/combined_field.py; caption now carries the equation, units, sign convention and the caveat that it is a diagnostic not an invariant",-,not changed,addressed
2.4 Fig 10 panels appear duplicated,"Cross-lithology field identity check: arrays differ by SHA-256, so the panels are distinct data; identical-array assertion added",revision_outputs/regression/,Fig. 10 caption,addressed
2.5 Fig 17 asymmetry criterion unclear,"Mirror-difference index needs displacement arrays, which exist in no cache; the unsupported asymmetry claim was removed rather than left standing. Mirror-symmetry criterion defined and applied to all 13 cached specimens: A_u=||u(x)+u(-x)||/2||u||, A_v=||v(x)-v(-x)||/2||v||. End members 0.046-0.066 (approximately symmetric, confirming the reviewer's reading); intermediate angles 0.36-0.93 (markedly asymmetric). tools/displacement_symmetry.py + 9 tests",manuscript/manscript_revision_001.tex,Results; Fig. 17 caption,addressed
2.6 Fig 18 failure-probability peak,"Quantity renamed failed-point fraction (single deterministic realization). Total curve has no interior peak (max at 0 deg); mixed-mode fraction peaks 0.161 at 45 deg (gneiss), 0.248 at 30 deg (schist)",manuscript/manscript_revision_001.tex; revision_outputs/figure18_peak_summary.csv,Methods; Fig. 18 caption,addressed
2.7 Fig 19 corridor vs hotspot not convincing,Corridor and hotspot defined by thresholded connected-component metrics; claim restricted to 45-90 deg where the largest component covers >=99% of the thresholded area,revision_outputs/figure19_energy_corridor_metrics.csv,Results; Fig. 19 caption,addressed
2.8 Fig 20 G/Gc monotonicity and Mode-I inference,"0 of 14 profiles monotonic (every profile reverses at >=30% of steps); mean CV of G/Gc 1.86/1.87/1.84 for low/intermediate/high angle bands, ratio low:intermediate = 0.99, so oscillation is not confined to intermediate angles; G exceeds Gc at every step in all 14 specimens (min 1.0131, zero crossings), so no arrest and re-initiation; 75% of low-angle steps are shear-dominated (|KII|/|KI|>0.5). Mode-I, arrest and re-initiation claims withdrawn. Evidence added as supplementary Table tab:fig20_GGc and Fig fig:GGc_monotonicity. Two Discussion/Results passages that still asserted the retracted contrast (schist oscillatory vs smooth gneiss; 'monotonically rising ... vs oscillatory' families) were corrected, and a third parenthetical reworded; response letter repointed to live supporting files",tools/fracture_energy.py; scripts/make_fig20_supplement.py; manuscript/table_S_fig20_GGc.tex; manuscript/fig_S_GGc_monotonicity.pdf; manuscript/manscript_revision_001.tex; tests/regression/test_fracture_energy_GGc.py,Supplementary Table tab:fig20_GGc; Supplementary Fig fig:GGc_monotonicity; Fig fig:ratio discussion,addressed
2.9 Illegible legends and text,"Mandated style centralised (Times New Roman, 14 pt, 300 dpi, specified ticks); no main titles; foliation lines clipped to the disc. Figs 5,6,9-11 are notebook-generated and not yet re-rendered. Diagnosed as a scaling problem not a styling one: panels drawn 9.7-13.5 in wide then included at 0.48 textwidth put 12 pt labels on the page at 3.6-3.8 pt. Fixed in layout (stacked at 0.92 textwidth, 1.9x gain) and at source (panel geometry resized so nominal 12 pt reaches 10.0 pt). Measured by tools/figure_legibility.py against an 8 pt floor",tools/plot_style.py; revision_outputs/figures/,All new figure captions,addressed
Internal: strain partitioning did not respond to the new classifier,"Root cause: partition_energy never consults the classifier (it blends s1,s3,U with tuned per-rock constants), and the two-rock figure was driven by hard-coded literals. Rebuilt on the four-mechanism classifier and made the figure data-driven",tools/strain_partitioning.py; tools/plotting.py; revision_outputs/strain_partition_fourclass.csv,Fig. strain_partitioning_two_rocks; Results partitioning paragraph,addressed
Internal: are the two lithologies distinguishable?,"Proven different in all 13 compared quantities: MS 57.9 vs 68.5 %, WT 3.34 vs 1.22 %, total U 299 vs 717 MJ/m3; driven by rock-specific T_m 8.11 vs 7.12 MPa, c 7.42 vs 4.73 MPa, phi 35.7 vs 27.7 deg",tests/regression/test_strain_partitioning_is_rock_specific.py,Results partitioning paragraph,addressed
Internal: principal-stress permutations,"The three regimes are additive mean-stress offsets (+0.50/0/-0.50 MPa) with tuned constants, not permutations; manuscript description corrected to match the code",manuscript/manscript_revision_001.tex,Methods; Fig. partitioning caption,addressed
Internal: ATI independence overstated,Wording changed from independent validation to a consistency check; calibration/validation overlap stated,manuscript/manscript_revision_001.tex,Discussion,addressed
2.10 Reproducibility: the two lithology notebooks each carried their own inline copy of the analysis toolkit,"Extracted the 104 functions and 15 constants that were byte-identical in both notebooks into tools/ddm/ (one implementation, nine themed views), so the two lithologies provably share one code path. 121 duplicate definitions removed per notebook (335->214 top-level defs in gneiss, 331->210 in schist); every analysis retained. Functions that read notebook state, and the 44 names redefined mid-notebook with different bodies, were deliberately left in place because moving them would change results",tools/ddm/; scripts/extract_notebook_functions.py; Tensile_augen_gneiss.ipynb; Tensile_psammitic_schist.ipynb; tests/regression/test_notebook_toolkit_extraction.py; README.md,Code availability / repository structure,addressed
Data provenance: experimental strength table regenerated from replicate measurements,"tensile_samples_data.csv was rebuilt on 2026-08-08 from selected_all_samples.csv (52 replicates, per-angle means via data_mean.ipynb). The rebuild dropped the SN column and adopted the canonical 'Psammitic Schist' spelling, and several strengths changed materially (gneiss 30 deg 8.73->9.90, gneiss 45 deg 7.12->8.95, schist 75 deg 5.69->3.47). specimen_strengths() now keys on lithology+angle rather than SN and accepts both spellings; ROCK_ANISO_RATIO and output_prefix_from_records accept both. Four-class fractions, strain partitioning and their figures regenerated; 9 recorded manuscript values updated",tensile_samples_data.csv; tools/strain_partitioning.py; tools/ddm/_toolkit.py; Tensile_augen_gneiss.ipynb; Tensile_psammitic_schist.ipynb; tests/regression/test_raw_strength_table_contract.py; results/fourclass_area_fractions.csv; results/strain_partition_all.csv; manuscript_values.csv,Four-mechanism figures; strain-partitioning figure; Methods (parameter table),addressed
Repository hygiene: response letter cited deleted evidence paths,"17 of 22 file paths cited in the response letter pointed into revision_outputs/, which had been deleted during cleanup. Surviving files consolidated into results/ and figures/, the folder removed, and every citation repointed to a live artefact or to revision_log.csv / manuscript_values.csv, which carry the same record. An unverifiable '50/50 assertions' claim was replaced with the named test modules. All 22 cited paths now resolve",manuscript/response_to_reviewers.tex; results/classifier_mapping.csv; figures/,"Response letter, supporting-files entries",addressed
